"Not \"wrong\", a Lie. And media rarely calls it for what it is."|Not  wrong   a Lie  And media rarely calls it for what it is|0.275
@MarkWarner Imagine if it were revealed that Senate Select Committee on Intelligence Vice-Chair was secretly communicating with lobbyist for Russian oligarch digging for dirt on duly-elected POTUS. 👉🏼 Better Buckle up your Big Boy Britches Comrade‼️ @realDonaldTrump  https://t.co/EU7b6TcZU6 https://t.co/uEP6ZTRNOb|Imagine if it were revealed that Senate Select Committee on Intelligence Vice Chair was secretly communicating with lobbyist for Russian oligarch digging for dirt on duly elected POTUS     Better Buckle up your Big Boy Britches Comrade|0.024999999999999994
"This. As UNLV political historian Mike Green says, as a fierce partisan, an honest McConnell would have supported exposure and then blamed Obama for being so \"weak\" that Russia felt it could attack us. McConnell instead insisted on secrecy. Obvious conclusion: he was in on it. https://t.co/lOOSEuUKje"|This  As UNLV political historian Mike Green says  as a fierce partisan  an honest McConnell would have supported exposure and then blamed Obama for being so  weak  that Russia felt it could attack us  McConnell instead insisted on secrecy  Obvious conclusion  he was in on it|0.004999999999999993
@TheStalwart @business trump is quoted saying that if the market falls more than 500pnts under any sitting president they should be impeached. we have lost 1000's of points in the last 2 months alone.|trump is quoted saying that if the market falls more than 500pnts under any sitting president they should be impeached  we have lost 1000 s of points in the last 2 months alone|0.25
Even the DA of Manhattan is corrupt! WTH?|Even the DA of Manhattan is corrupt  WTH|-0.5
BREAKING: The attorneys general of the District of Columbia and Maryland plan to file subpoenas against The Trump Organization, other entities and some federal agencies for records in their case accusing Donald Trump of profiting off the presidency. https://t.co/I2CsfflXYR|BREAKING  The attorneys general of the District of Columbia and Maryland plan to file subpoenas against The Trump Organization  other entities and some federal agencies for records in their case accusing Donald Trump of profiting off the presidency|-0.03749999999999999
@krassenstein That's what America needs! #Trump as #POTUS45, and another sleazy site, for even sleazier people. JTS founder, can just Sleazily disappear up her own sleazy backside!|That s what America needs    as    and another sleazy site  for even sleazier people  JTS founder  can just Sleazily disappear up her own sleazy backside|0.6
BREAKING:  DC and Maryland Attorney Generals are filing subpoenas seeking official records from the IRS, the Trump Organization and many other organizations in their investigation against Donald Trump.    It looks like Trump's Tax Returns will be had!!   Give me a HELL YEAH!|BREAKING   DC and Maryland Attorney Generals are filing subpoenas seeking official records from the IRS  the Trump Organization and many other organizations in their investigation against Donald Trump     It looks like Trump s Tax Returns will be had     Give me a HELL YEAH|0.1875
Common narrative is that Mattis is willing to placate WH with minor concessions to control some bad stuff.  Just to put in perspective -- no value judgment w/o knowing 'bad stuff' -- those concessions include accepting Trump on MBS &amp; sending troops to border for campaign purposes|Common narrative is that Mattis is willing to placate WH with minor concessions to control some bad stuff   Just to put in perspective    no value judgment w o knowing  bad stuff     those concessions include accepting Trump on MBS  amp  sending troops to border for campaign purposes|-0.29999999999999993
Trump is clearly showing signs of dementia or some other mental health issue. He’s slurring his words, wandering off, looks pale and tired, and lives in his own reality.   I would not be surprised if he has a full blown mental breakdown in the near future.|Trump is clearly showing signs of dementia or some other mental health issue  He s slurring his words  wandering off  looks pale and tired  and lives in his own reality    I would not be surprised if he has a full blown mental breakdown in the near future|0.02863636363636363
Trump always talks about “America First” but tariffs won’t help America compete with China and lead in the 21st century. We need an inclusive patriotism built on the idea that every community deserves the resources and tools to succeed in our tech-driven economy.|Trump always talks about  America First  but tariffs won t help America compete with China and lead in the 21st century  We need an inclusive patriotism built on the idea that every community deserves the resources and tools to succeed in our tech driven economy|0.125
